userId,houseNumber,street,city,province,country,postalCode
1,802,Hovde,Pewel Wielka,British Columbia,Poland,34-332,1
2,155,Tennessee,Kołbiel,Saskatchewan,Poland,05-340,1
3,479,Burrows,Marne-la-Vallée,Manitoba,France,77708 CEDEX 4,1
4,968,Bluestem,Ivry-sur-Seine,Prince Edward Island,France,94209 CEDEX,1
5,452,Kropf,Krzczonów,Saskatchewan,Poland,32-435,1
6,680,Village,Przemków,British Columbia,Poland,59-171,1
7,661,Myrtle,Montluçon,Ontario,France,03104 CEDEX,1
8,1000,Trailsway,Paniówki,British Columbia,Poland,44-177,1
9,272,Gale,Toulon,Ontario,France,83077 CEDEX 9,1
10,954,Luster,Lipnik,Prince Edward Island,Poland,27-540,1
11,531,Vermont,Skalbmierz,Newfoundland and Labrador,Poland,28-530,1
12,648,Barnett,Paris 08,Newfoundland and Labrador,France,75374 CEDEX 08,1
13,722,Surrey,Osieck,Manitoba,Poland,08-445,1
14,511,Randy,Mantes-la-Jolie,Ontario,France,78204 CEDEX,1
15,453,International,Łęknica,Quebec,Poland,68-208,1
16,241,Vera,Łomża,Nova Scotia,Poland,18-404,1
17,934,Eagan,Otyń,New Brunswick,Poland,67-101,1
18,617,Waywood,Koźle,British Columbia,Poland,47-280,1
19,271,Pankratz,Czarne,Quebec,Poland,77-330,1
20,378,Riverside,Vineuil,Saskatchewan,France,41355 CEDEX,1
21,831,Fordem,Chodzież,Prince Edward Island,Poland,64-800,1
22,773,Bobwhite,Compiègne,British Columbia,France,60204 CEDEX,1
23,811,Mcguire,Rokitno Szlacheckie,Alberta,Poland,42-454,1
24,81,American Ash,Chodzież,Newfoundland and Labrador,Poland,64-800,1
25,557,Macpherson,Rzeszów,Nova Scotia,Poland,35-959,1
26,315,Havey,Osiek nad Notecią,Quebec,Poland,75-571,1
27,858,Vidon,Rybarzowice,Manitoba,Poland,43-378,1
28,151,Leroy,Sośno,Ontario,Poland,89-412,1
29,143,Acker,Berlin,British Columbia,Germany,14109,1
30,991,Ronald Regan,Grabów nad Prosną,Ontario,Poland,90-510,1
31,36,Sauthoff,Bełsznica,Quebec,Poland,44-362,1
32,859,Dottie,Sevilla,Prince Edward Island,Spain,41015,1
33,19,Gale,Milówka,Prince Edward Island,Poland,34-360,1
34,259,Summit,Köln,New Brunswick,Germany,50733,1
35,143,Browning,Puteaux,Manitoba,France,92822 CEDEX,1
36,700,Melby,Opinogóra Górna,British Columbia,Poland,06-406,1
37,220,South,Puteaux,New Brunswick,France,92804 CEDEX,1
38,17,Dayton,Cartagena,Ontario,Spain,30394,1
39,498,Golden Leaf,Zwolle,Ontario,Netherlands,8029,1
40,65,Bluejay,Köln,British Columbia,Germany,50935,1
41,596,Fairview,Lille,Alberta,France,59024 CEDEX,1
42,295,Upham,Puteaux,British Columbia,France,92804 CEDEX,1
43,776,Gerald,Jaworzynka,Prince Edward Island,Poland,43-476,1
44,789,Ilene,Sobienie Jeziory,New Brunswick,Poland,08-443,1
45,76,Oak,Rokiciny,Saskatchewan,Poland,97-221,1
